10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,1
10,3,1
10,3,1
10,3,2
10,5,3
10,6,4
10,7,5
10,7,5
10,8,6
11,9,7
12,11,8
13,13,8
13,13,9
15,15,9
16,16,10
16,16,10
16,16,10
16,16,10
16,16,10
16,16,10
16,16,9
16,15,9
16,15,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,14,8
16,13,8
16,13,8
16,13,8
16,12,8
16,12,8
16,12,8
16,12,8
16,12,8
16,12,8
16,12,8
16,12,8
16,12,8
16,12,8
16,12,8
16,12,8
16,12,7
16,11,7
16,11,7
16,11,7
16,11,7
16,11,7
16,11,7
16,11,6
16,10,5
16,9,4
16,8,4
16,8,4
16,8,3
16,7,3
16,7,2
16,6,2
16,6,2
16,6,2
16,6,2
15,5,2
14,4,2
13,3,2
13,4,2
12,3,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,2
12,4,0
11,3,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
10,2,0
